# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  6 12:24:09 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
#
pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
11 Com b,11 Com,Radial Velocity,2007,,,,,1.210000,0.060000,-0.050000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Com b,11 Com,Radial Velocity,2007,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,,,,,,,,,,,,,0.231000,0.005000,-0.005000,0,,,,,,,,,4742.00,100.00,-100.00,0
11 Com b,11 Com,Radial Velocity,2007,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,,,,,,,,,,,,,0.238000,0.007000,-0.007000,0,,,,,,,,,4874.00,,,0
11 UMi b,11 UMi,Radial Velocity,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,,,,,,,,,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,4213.00,46.00,-46.00,0
11 UMi b,11 UMi,Radial Velocity,2009,,,,,1.510000,0.060000,-0.050000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 UMi b,11 UMi,Radial Velocity,2009,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,,,,,,,,,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,4340.00,70.00,-70.00,0
14 And b,14 And,Radial Velocity,2008,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,,,,,,,,,,,,,0.000000,,,0,,,,,,,,,4888.00,,,0
14 And b,14 And,Radial Velocity,2008,,,,,0.680000,0.030000,-0.060000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 And b,14 And,Radial Velocity,2008,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,,,,,,,,,,,,,0.000000,,,0,,,,,,,,,4813.00,20.00,-20.00,0
14 Her b,14 Her,Radial Velocity,2002,1773.40000000,2.50000000,-2.50000000,0,2.770000,0.050000,-0.050000,0,,,,,,,,,,,,,0.369000,0.005000,-0.005000,0,,,,,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,1766.00000000,,,0,2.864000,,,0,,,,,,,,,,,,,0.359000,,,0,,,,,,,,,5280.00,163.21,-128.17,0
14 Her b,14 Her,Radial Velocity,2002,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,,,,,2559.47216,518.69596,-280.64248,0,,,,,0.373000,0.008000,-0.006000,0,,,,,144.652,6.279,-3.241,0,,,,
14 Her b,14 Her,Radial Velocity,2002,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,,,,,,,,,,,,,0.370000,0.000000,0.000000,0,,,,,,,,,5338.00,25.00,-25.00,0
14 Her b,14 Her,Radial Velocity,2002,1796.40000000,8.30000000,-8.30000000,0,2.800000,,,0,,,,,,,,,,,,,0.338000,0.011000,-0.011000,0,,,,,,,,,5255.00,50.00,-50.00,0
14 Her b,14 Her,Radial Velocity,2002,1766.41000000,0.67000000,-0.68000000,0,2.830000,0.041000,-0.041000,0,,,,,,,,,,,,,0.367400,0.003500,-0.003800,0,,,,,,,,,5314.94,81.56,-81.56,0
14 Her b,14 Her,Radial Velocity,2002,1724.00000000,50.00000000,-50.00000000,0,2.820000,,,0,,,,,,,,,,,,,0.370000,0.040000,-0.040000,0,,,,,,,,,,,,
